Date,Google,Translate,Docs,Okay google,gmail,Earth,Hangout,Maps,Street View,Classroom,Chrome,Wallet,Cardboard,Drive,Nexus,Gravity,Slides,Price
1/16/09,78,64,71,0,71,45,0,66,6,40,65,18,36,62,38,22,28,161.330292
1/17/09,80,62,57,53,64,51,0,65,6,100,82,22,0,66,96,21,35,165.121078
1/18/09,78,72,52,69,62,52,0,57,6,33,78,22,45,58,0,27,34,173.68399
1/19/09,75,71,66,26,72,41,0,61,5,25,65,33,34,61,71,10,0,171.018982
1/20/09,76,72,69,26,71,40,0,62,4,24,61,16,67,80,35,20,52,168.632919
1/21/09,78,76,76,26,72,40,0,64,4,58,62,17,34,67,53,30,39,169.649109
1/22/09,78,74,79,26,72,42,0,64,6,50,59,17,0,84,72,10,26,169.58934
1/23/09,78,70,68,28,71,42,0,65,7,44,66,17,0,48,56,22,55,170.859573
1/24/09,80,64,52,35,65,50,99,65,5,44,80,44,45,65,0,34,52,176.199554
1/25/09,79,73,51,34,62,51,0,59,6,32,73,44,44,74,47,27,68,184.946777
1/26/09,76,75,75,26,72,41,0,62,6,37,63,16,34,94,71,26,39,188.677795
1/27/09,79,75,80,26,77,41,0,64,6,57,66,16,0,100,53,20,26,178.585617
1/28/09,81,77,85,26,79,42,0,65,6,25,65,16,34,72,35,30,39,178.351501
1/29/09,79,72,71,26,79,43,0,67,6,25,68,17,0,75,36,21,26,180.847137
1/30/09,82,68,72,0,77,46,0,69,8,53,70,0,0,94,38,22,42,178.172165
1/31/09,97,62,63,68,71,50,0,64,8,43,91,22,45,90,0,20,34,170.690216
2/1/09,80,75,53,34,65,50,0,59,6,32,80,21,0,74,68,13,100,175.895706
2/2/09,82,93,80,51,73,56,72,60,6,84,65,0,33,72,34,20,25,170.680252
2/3/09,94,88,84,0,73,100,0,64,6,48,65,16,0,65,34,20,38,172.57814
2/4/09,93,87,82,25,74,83,0,69,6,59,65,16,33,60,52,30,42,164.413742
2/5/09,90,88,89,25,75,69,0,69,6,36,67,16,0,66,93,35,25,172.080002
2/6/09,88,82,79,41,72,64,0,70,6,60,68,17,35,72,37,11,0,170.182114
2/7/09,87,73,48,45,65,69,0,67,6,32,86,0,0,79,46,20,34,167.960449
2/8/09,86,83,54,33,62,72,0,62,7,46,75,62,0,72,0,26,43,168.363937
2/9/09,82,81,91,0,74,55,0,66,6,78,62,16,0,68,79,29,49,162.969147
2/10/09,86,79,87,50,75,57,0,65,6,47,60,16,32,64,79,48,99,162.132294
2/11/09,85,83,86,0,76,56,0,66,5,41,62,16,34,60,35,15,52,158.864532
2/12/09,84,81,96,52,75,52,0,67,5,41,58,25,0,62,70,25,26,152.249329
2/13/09,83,74,69,0,74,52,0,70,7,52,59,17,36,65,38,11,41,153.708862
2/14/09,84,71,52,35,67,59,0,65,7,66,70,37,0,71,47,14,52,144.901871
2/15/09,84,82,56,0,64,61,0,62,6,54,69,22,0,66,70,20,51,153.509613
2/16/09,78,81,74,0,75,46,0,63,6,24,60,25,34,59,35,20,51,158.36142
2/17/09,82,83,79,0,75,46,0,66,5,36,61,27,0,64,35,10,25,161.160934
2/18/09,80,82,79,38,75,49,0,65,6,56,57,24,0,61,35,20,38,161.604263
2/19/09,82,80,82,0,75,49,0,66,9,41,61,22,100,48,47,20,25,159.248093
2/20/09,85,78,72,28,75,60,0,69,7,26,63,17,36,74,62,16,41,167.043884
2/21/09,87,74,48,0,66,66,0,66,8,65,72,22,44,70,47,13,68,165.928055
2/22/09,83,84,64,0,63,62,0,61,8,53,72,21,44,68,46,26,0,164.353958
2/23/09,79,83,83,0,72,48,0,62,6,48,57,16,33,57,35,35,51,164.463547
2/24/09,82,86,89,0,100,47,0,63,5,61,62,0,33,59,70,15,0,173.649124
2/25/09,82,88,82,26,76,46,0,62,5,56,68,16,0,54,0,20,25,172.936783
2/26/09,82,88,81,51,74,47,0,66,6,56,63,16,33,53,34,10,25,171.392578
2/27/09,82,78,81,0,72,47,0,70,6,38,63,17,0,61,36,21,53,175.985367
2/28/09,83,75,57,34,66,54,0,65,6,32,69,21,0,79,46,13,0,173.200806
3/1/09,83,89,69,66,64,52,0,60,6,62,71,21,43,59,44,13,32,170.705154
3/2/09,80,88,95,41,75,44,0,63,4,46,55,16,32,51,34,24,49,173.380127
3/3/09,82,88,92,25,75,44,0,64,5,47,54,16,32,46,68,10,50,176.383865
3/4/09,82,92,87,25,76,46,0,64,5,47,53,16,0,44,51,10,74,180.573166
3/5/09,82,89,96,25,74,45,0,66,5,48,58,32,0,62,68,10,25,184.19957
3/6/09,82,86,76,40,75,47,0,68,5,76,61,34,35,50,36,21,44,183.432449
3/7/09,85,81,54,33,66,53,0,65,6,32,75,0,43,63,45,13,0,178.65535
3/8/09,82,89,58,33,63,53,0,62,5,77,70,0,43,56,45,13,66,180.324097
3/9/09,80,90,87,33,75,43,0,65,5,58,60,16,0,62,34,29,33,185.554489
3/10/09,81,93,96,25,75,43,0,64,5,46,59,0,0,57,34,29,25,188.349014
3/11/09,81,95,98,25,75,43,0,65,4,47,56,21,0,61,34,29,25,183.766205
3/12/09,83,90,97,25,75,43,0,65,5,56,56,48,0,52,34,10,25,189.041428
3/13/09,84,84,81,27,75,45,0,68,5,84,61,23,0,68,36,26,27,193.64418
3/14/09,89,84,59,0,66,55,0,68,5,48,77,21,44,59,0,26,33,195.387634
3/15/09,84,94,53,100,64,55,0,63,6,73,73,42,43,77,67,19,33,188.941803
3/16/09,81,91,73,0,75,44,0,65,5,47,57,16,32,54,51,29,37,190.022751
3/17/09,84,97,82,25,76,44,0,67,5,71,62,0,32,55,57,24,41,191.213287
3/18/09,83,96,92,38,76,43,0,68,5,32,82,16,0,48,34,20,25,191.62674
3/19/09,89,92,85,51,75,48,0,79,51,40,89,16,0,69,35,84,0,194.017776
3/20/09,100,88,79,0,75,64,77,100,100,38,87,0,35,72,74,100,54,192.254379
3/21/09,95,79,45,34,66,63,0,84,59,32,100,21,44,77,46,33,50,191.138565
3/22/09,92,95,58,0,63,61,0,77,52,31,91,31,0,70,89,57,32,195.004074
3/23/09,88,99,80,24,74,49,0,79,38,31,77,15,0,67,0,33,48,197.245682
3/24/09,88,98,92,0,75,50,0,78,35,54,76,0,0,66,100,33,33,196.109924
3/25/09,88,94,79,25,75,51,0,77,26,62,74,16,64,73,33,24,0,200.239456
3/26/09,90,97,90,25,76,52,0,79,35,39,76,32,33,63,34,24,50,200.742569
3/27/09,87,88,86,0,74,52,0,79,28,33,73,0,68,64,54,15,40,200.981674
3/28/09,89,79,55,0,66,58,0,74,26,46,86,35,43,63,0,26,66,197.564484
3/29/09,86,90,63,32,63,58,0,71,22,30,81,0,42,65,44,25,65,202.904465
3/30/09,84,95,100,0,76,46,0,73,20,23,68,15,0,60,66,9,24,312.204773
3/31/09,88,100,90,50,76,48,0,76,46,70,68,0,48,56,33,19,25,310.829926
1/1/10,82,68,35,33,76,90,0,65,36,40,73,98,0,81,7,2,0,302.994293
1/2/10,79,68,40,42,75,85,0,67,30,39,75,28,55,77,7,2,41,295.940735
1/3/10,81,74,50,45,75,84,0,66,30,42,76,27,54,84,8,2,59,299.885956
1/4/10,83,72,66,42,84,71,0,72,26,38,69,21,41,66,13,3,61,299.432648
1/5/10,88,77,69,34,84,72,0,74,32,32,68,34,41,66,73,2,45,294.137512
1/6/10,91,80,71,21,82,75,0,75,30,45,69,28,41,87,100,3,61,292.448822
1/7/10,87,81,68,20,83,73,0,77,28,38,68,34,0,83,48,3,30,293.823669
1/8/10,85,76,62,28,83,75,0,78,28,68,68,42,42,65,26,2,41,288.917053
1/9/10,85,76,46,26,75,83,0,71,29,59,79,26,50,76,21,100,0,292.71283
1/10/10,84,85,43,25,73,85,0,71,27,39,77,25,100,83,19,47,37,289.121307
1/11/10,83,85,74,30,85,70,0,76,26,31,63,20,0,66,18,15,39,290.401489
1/12/10,84,82,81,19,85,70,0,76,23,66,61,39,38,85,15,10,42,273.978058
1/13/10,91,85,100,20,88,84,0,80,29,24,64,20,39,91,13,8,43,268.99176
1/14/10,92,85,89,20,86,91,0,82,27,56,62,20,40,90,12,9,44,270.197235
1/15/10,90,78,81,31,85,96,0,84,27,26,64,41,41,74,12,7,45,270.037842
1/16/10,88,75,51,0,77,100,0,80,26,64,79,26,76,100,12,3,76,266.1474
1/17/10,87,85,48,34,74,95,0,73,28,23,78,25,0,80,11,6,86,263.98053
1/18/10,85,82,71,39,86,77,0,79,26,48,65,20,39,68,10,4,43,265.514771
1/19/10,86,84,86,19,88,76,0,80,26,48,65,39,57,64,9,5,56,264.568329
1/20/10,86,86,81,29,87,76,0,79,28,45,65,39,38,61,8,4,28,269.400208
1/21/10,87,84,81,30,88,77,0,82,58,49,67,20,0,79,9,6,29,262.406433
1/22/10,88,80,80,21,90,80,0,87,63,57,66,21,82,80,8,8,40,264.653015
1/23/10,88,74,50,51,80,89,0,81,47,31,80,0,50,72,7,5,37,265.738953
1/24/10,85,84,57,25,76,88,0,74,42,34,77,49,0,65,8,7,48,267.218414
1/25/10,83,82,78,19,90,71,0,80,35,41,66,19,0,74,7,3,28,266.227112
1/26/10,86,85,83,39,88,69,0,80,32,60,75,68,58,63,7,3,76,267.198486
1/27/10,86,87,78,19,90,70,0,80,41,59,76,39,0,76,8,5,70,265.564606
1/28/10,86,83,87,32,89,70,0,80,29,72,74,29,77,63,8,4,100,269.639313
1/29/10,86,79,78,21,91,73,0,82,32,19,78,41,41,76,7,4,30,268.100098
1/30/10,85,76,56,38,80,83,0,75,35,70,100,25,50,89,7,3,49,270.595734
