date,Amazon uk
2017-02-18,85
2017-02-19,90
2017-02-20,78
2017-02-21,76
2017-02-22,76
2017-02-23,74
2017-02-24,74
2017-02-25,89
2017-02-26,97
2017-02-27,82
2017-02-28,81
2017-03-01,79
2017-03-02,79
2017-03-03,78
2017-03-04,84
2017-03-05,94
2017-03-06,79
2017-03-07,75
2017-03-08,76
2017-03-09,72
2017-03-10,73
2017-03-11,80
2017-03-12,88
2017-03-13,75
2017-03-14,74
2017-03-15,71
2017-03-16,72
2017-03-17,73
2017-03-18,82
2017-03-19,92
2017-03-20,79
2017-03-21,76
2017-03-22,74
2017-03-23,70
2017-03-24,69
2017-03-25,73
2017-03-26,80
2017-03-27,73
2017-03-28,76
2017-03-29,76
2017-03-30,77
2017-03-31,72
