"","date","Amazon"
"795","2008-12-03",83
"796","2008-12-04",86
"797","2008-12-05",85
"798","2008-12-06",92
"799","2008-12-07",100
"800","2008-12-08",99
"801","2008-12-09",92
"802","2008-12-10",88
"803","2008-12-11",87
"804","2008-12-12",85
"805","2008-12-13",94
"806","2008-12-14",100
"807","2008-12-15",94
"808","2008-12-16",90
"809","2008-12-17",88
"810","2008-12-18",84
"811","2008-12-19",80
"812","2008-12-20",80
"813","2008-12-21",80
"814","2008-12-22",73
"815","2008-12-23",66
"816","2008-12-24",62
"817","2008-12-25",69
"818","2008-12-26",81
"819","2008-12-27",82
"820","2008-12-28",81
"821","2008-12-29",74
"822","2008-12-30",71
"823","2008-12-31",69
"824","2009-01-01",100
"825","2009-01-02",99
"826","2009-01-03",97
"827","2009-01-04",99
"828","2009-01-05",92
"829","2009-01-06",90
"830","2009-01-07",88
"831","2009-01-08",84
"832","2009-01-09",84
"833","2009-01-10",89
"834","2009-01-11",94
"835","2009-01-12",86
"836","2009-01-13",82
"837","2009-01-14",81
"838","2009-01-15",80
"839","2009-01-16",79
"840","2009-01-17",85
"841","2009-01-18",94
"842","2009-01-19",82
"843","2009-01-20",77
"844","2009-01-21",77
"845","2009-01-22",77
"846","2009-01-23",79
"847","2009-01-24",85
"848","2009-01-25",92
"849","2009-01-26",82
"850","2009-01-27",79
"851","2009-01-28",78
"852","2009-01-29",77
"853","2009-01-30",77
"854","2009-01-31",86
"855","2009-02-01",89
"856","2009-02-02",77
"857","2009-02-03",78
"858","2009-02-04",75
"859","2009-02-05",76
"860","2009-02-06",74
"861","2009-02-07",82
"862","2009-02-08",88
"863","2009-02-09",80
"864","2009-02-10",75
"865","2009-02-11",74
"866","2009-02-12",72
"867","2009-02-13",70
"868","2009-02-14",78
"869","2009-02-15",85
"870","2009-02-16",75
"871","2009-02-17",74
"872","2009-02-18",71
"873","2009-02-19",72
"874","2009-02-20",72
"875","2009-02-21",79
"876","2009-02-22",84
"877","2009-02-23",74
"878","2009-02-24",74
"879","2009-02-25",72
"880","2009-02-26",71
"881","2009-02-27",72
"882","2009-02-28",77
"883","2009-03-01",84
"884","2009-03-02",75
"885","2009-03-03",74
"886","2009-03-04",72
"887","2009-03-05",73
"888","2009-03-06",72
"889","2009-03-07",78
"890","2009-03-08",85
"891","2009-03-09",75
"892","2009-03-10",72
"893","2009-03-11",71
"894","2009-03-12",72
"895","2009-03-13",69
"896","2009-03-14",75
"897","2009-03-15",81
"898","2009-03-16",73
"899","2009-03-17",71
"900","2009-03-18",69
"901","2009-03-19",68
"902","2009-03-20",67
"903","2009-03-21",70
"904","2009-03-22",79
"905","2009-03-23",73
"906","2009-03-24",72
"907","2009-03-25",72
"908","2009-03-26",71
"909","2009-03-27",69
"910","2009-03-28",76
"911","2009-03-29",80
"912","2009-03-30",73
"913","2009-03-31",71
"914","2009-04-01",83
"915","2009-04-02",80
"916","2009-04-03",81
"917","2009-04-04",87
"918","2009-04-05",93
"919","2009-04-06",87
"920","2009-04-07",84
"921","2009-04-08",85
"922","2009-04-09",82
"923","2009-04-10",85
"924","2009-04-11",85
"925","2009-04-12",90
"926","2009-04-13",88
"927","2009-04-14",84
"928","2009-04-15",80
"929","2009-04-16",81
"930","2009-04-17",83
"931","2009-04-18",84
"932","2009-04-19",91
"933","2009-04-20",85
"934","2009-04-21",83
"935","2009-04-22",78
"936","2009-04-23",78
"937","2009-04-24",79
"938","2009-04-25",84
"939","2009-04-26",92
"940","2009-04-27",82
"941","2009-04-28",81
"942","2009-04-29",81
"943","2009-04-30",79
"944","2009-05-01",85
"945","2009-05-02",85
"946","2009-05-03",91
"947","2009-05-04",86
"948","2009-05-05",85
"949","2009-05-06",85
"950","2009-05-07",82
"951","2009-05-08",82
"952","2009-05-09",86
"953","2009-05-10",90
"954","2009-05-11",82
"955","2009-05-12",82
"956","2009-05-13",82
"957","2009-05-14",81
"958","2009-05-15",82
"959","2009-05-16",85
"960","2009-05-17",94
"961","2009-05-18",84
"962","2009-05-19",82
"963","2009-05-20",79
"964","2009-05-21",80
"965","2009-05-22",79
"966","2009-05-23",81
"967","2009-05-24",83
"968","2009-05-25",80
"969","2009-05-26",82
"970","2009-05-27",80
"971","2009-05-28",80
"972","2009-05-29",79
"973","2009-05-30",83
"974","2009-05-31",88
"975","2009-06-01",81
"976","2009-06-02",82
"977","2009-06-03",80
"978","2009-06-04",81
"979","2009-06-05",80
"980","2009-06-06",90
"981","2009-06-07",93
"982","2009-06-08",84
"983","2009-06-09",85
"984","2009-06-10",84
"985","2009-06-11",84
"986","2009-06-12",81
"987","2009-06-13",86
"988","2009-06-14",94
"989","2009-06-15",88
"990","2009-06-16",84
"991","2009-06-17",84
"992","2009-06-18",84
"993","2009-06-19",83
"994","2009-06-20",89
"995","2009-06-21",97
"996","2009-06-22",85
"997","2009-06-23",84
"998","2009-06-24",81
"999","2009-06-25",82
"1000","2009-06-26",86
"1001","2009-06-27",94
"1002","2009-06-28",100
"1003","2009-06-29",87
"1004","2009-06-30",85
"1005","2009-07-01",81
"1006","2009-07-02",79
"1007","2009-07-03",79
"1008","2009-07-04",84
"1009","2009-07-05",92
"1010","2009-07-06",84
"1011","2009-07-07",84
"1012","2009-07-08",84
"1013","2009-07-09",83
"1014","2009-07-10",81
"1015","2009-07-11",90
"1016","2009-07-12",96
"1017","2009-07-13",87
"1018","2009-07-14",86
"1019","2009-07-15",85
"1020","2009-07-16",82
"1021","2009-07-17",84
"1022","2009-07-18",88
"1023","2009-07-19",98
"1024","2009-07-20",88
"1025","2009-07-21",88
"1026","2009-07-22",83
"1027","2009-07-23",85
"1028","2009-07-24",85
"1029","2009-07-25",88
"1030","2009-07-26",97
"1031","2009-07-27",88
"1032","2009-07-28",86
"1033","2009-07-29",85
"1034","2009-07-30",83
"1035","2009-07-31",84
"1036","2009-08-01",93
"1037","2009-08-02",98
"1038","2009-08-03",89
"1039","2009-08-04",87
"1040","2009-08-05",85
"1041","2009-08-06",83
"1042","2009-08-07",82
"1043","2009-08-08",89
"1044","2009-08-09",95
"1045","2009-08-10",92
"1046","2009-08-11",87
"1047","2009-08-12",86
"1048","2009-08-13",85
"1049","2009-08-14",85
"1050","2009-08-15",89
"1051","2009-08-16",95
"1052","2009-08-17",89
"1053","2009-08-18",88
"1054","2009-08-19",85
"1055","2009-08-20",85
"1056","2009-08-21",86
"1057","2009-08-22",88
"1058","2009-08-23",94
"1059","2009-08-24",90
"1060","2009-08-25",91
"1061","2009-08-26",90
"1062","2009-08-27",85
"1063","2009-08-28",87
"1064","2009-08-29",90
"1065","2009-08-30",97
"1066","2009-08-31",86
"1067","2009-09-01",88
"1068","2009-09-02",89
"1069","2009-09-03",87
"1070","2009-09-04",87
"1071","2009-09-05",91
"1072","2009-09-06",97
"1073","2009-09-07",91
"1074","2009-09-08",87
"1075","2009-09-09",87
"1076","2009-09-10",85
"1077","2009-09-11",83
"1078","2009-09-12",91
"1079","2009-09-13",100
"1080","2009-09-14",87
"1081","2009-09-15",87
"1082","2009-09-16",86
"1083","2009-09-17",84
"1084","2009-09-18",81
"1085","2009-09-19",88
"1086","2009-09-20",94
"1087","2009-09-21",88
"1088","2009-09-22",86
"1089","2009-09-23",84
"1090","2009-09-24",83
"1091","2009-09-25",82
"1092","2009-09-26",88
"1093","2009-09-27",93
"1094","2009-09-28",86
"1095","2009-09-29",86
"1096","2009-09-30",86
"1097","2009-10-01",55
"1098","2009-10-02",54
"1099","2009-10-03",59
"1100","2009-10-04",62
"1101","2009-10-05",56
"1102","2009-10-06",56
"1103","2009-10-07",57
"1104","2009-10-08",55
