date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
9/25/15,54,28,38,58,22,29,86,834.090027
9/26/15,55,33,34,70,16,32,76,829.280029
9/27/15,58,50,35,77,12,48,77,822.960022
9/28/15,54,27,33,67,21,56,85,812.950012
9/29/15,54,24,31,70,16,24,88,817.650024
9/30/15,55,31,33,62,13,42,85,817.690002
10/1/15,45,59,37,67,7,47,84,810.320007
10/2/15,43,34,39,58,7,28,84,818.98999
10/3/15,47,43,36,69,12,40,76,838.090027
10/4/15,48,24,35,68,16,32,77,835.179993
10/5/15,46,18,34,63,13,41,97,822.590027
10/6/15,45,30,35,53,16,33,91,818.359985
10/7/15,45,19,31,71,23,17,90,776.320007
10/8/15,44,38,32,63,18,47,89,789.820007
10/9/15,43,24,38,53,18,0,85,785.409973
10/10/15,46,33,36,54,12,32,77,765.559998
10/11/15,49,41,38,60,18,56,77,767.030029
10/12/15,49,53,37,54,22,24,100,755.049988
10/13/15,53,36,35,62,31,16,88,784.929993
10/14/15,50,40,39,63,26,58,87,787.75
10/15/15,50,47,41,56,14,65,86,771.880005
10/16/15,48,30,47,55,14,56,85,742.380005
10/17/15,49,47,44,58,15,64,76,739.01001
10/18/15,51,52,45,57,24,48,80,719.070007
10/19/15,49,44,45,59,37,64,90,743.23999
10/20/15,47,62,57,72,26,92,83,746.48999
10/21/15,46,40,78,86,39,42,81,756.400024
10/22/15,46,41,62,88,51,75,83,760.159973
10/23/15,46,77,56,68,18,82,80,780
10/24/15,47,57,63,96,33,31,68,785.330017
10/25/15,51,40,49,96,21,47,70,780.119995
10/26/15,54,50,45,87,31,48,83,780.369995
10/27/15,52,50,42,80,19,49,84,766.77002
10/28/15,50,37,39,77,22,33,82,762.52002
10/29/15,47,28,45,78,22,48,81,750.570007
10/30/15,45,52,50,77,7,47,76,743.650024
10/31/15,44,18,43,69,43,32,70,740.340027
11/1/15,51,30,43,91,22,24,71,759.359985
11/2/15,49,44,40,78,28,64,82,764.719971
11/3/15,49,54,41,85,13,49,79,770.419983
11/4/15,49,22,41,71,23,51,81,767.330017
11/5/15,50,73,52,75,33,66,82,768.659973
11/6/15,48,54,51,88,11,46,81,760.119995
11/7/15,52,38,47,81,43,16,72,774.340027
