date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
3/23/09,86,0,0,66,47,50,87,52,46,55,56,38.549999
3/24/09,87,96,0,46,0,0,88,48,33,65,55,39.27
3/25/09,88,32,0,25,0,0,87,49,37,50,58,38.330002
3/26/09,93,0,44,55,0,32,76,48,52,52,55,38.349998
3/27/09,100,33,0,69,0,0,72,58,47,65,40,39.470001
3/28/09,91,0,0,19,0,0,100,90,51,34,68,34.599998
3/29/09,88,0,0,42,35,0,92,66,66,40,75,33.970001
3/30/09,88,50,0,29,0,0,87,57,43,50,69,33.830002
3/31/09,86,0,21,54,0,0,87,52,46,55,59,34.23
1/1/10,88,0,41,41,0,32,85,100,100,100,86,34.450001
1/2/10,97,0,22,19,27,0,77,97,100,63,90,34.130001
1/3/10,95,25,0,62,0,0,78,81,96,15,80,35.099998
1/4/10,86,26,22,33,0,70,94,68,80,76,63,36.240002
1/5/10,84,0,31,54,0,0,96,68,75,70,69,35.919998
1/6/10,83,0,0,62,0,0,89,50,71,41,42,36.91
1/7/10,82,0,0,41,0,0,93,62,64,80,55,36.560001
1/8/10,83,24,0,35,0,0,84,77,66,53,74,37.32
1/9/10,86,0,0,42,0,33,76,99,83,43,55,37.400002
1/10/10,92,0,0,49,26,0,72,92,91,57,74,38.09
1/11/10,86,26,0,53,0,0,96,68,68,66,71,38.830002
1/12/10,84,0,0,28,0,100,93,50,71,70,68,40.459999
1/13/10,85,36,0,91,0,0,91,52,59,27,59,40.889999
1/14/10,84,0,0,97,0,0,93,66,64,56,61,40.07
1/15/10,84,24,0,42,0,64,98,68,66,47,74,39.900002
1/16/10,89,0,0,60,0,33,76,81,77,50,98,40.369999
1/17/10,99,0,0,44,0,0,69,78,82,42,70,38.549999
1/18/10,87,0,0,59,0,35,100,55,65,66,54,38.049999
1/19/10,86,36,0,100,0,0,94,65,53,60,61,38.310001
